"site","plot_no","reading","light","canopy_openness","P_ID"
"Old_Valparai",16,3,737,3,"Old_Valparai_16"
"Old_Valparai",16,4,1426,5,"Old_Valparai_16"
"Old_Valparai",17,1,1307,6,"Old_Valparai_17"
"Old_Valparai",17,2,1394,4,"Old_Valparai_17"
"Old_Valparai",17,3,5750,16,"Old_Valparai_17"
"Old_Valparai",17,4,873,6,"Old_Valparai_17"
"Old_Valparai",18,1,1016,1,"Old_Valparai_18"
"Old_Valparai",18,2,1873,5,"Old_Valparai_18"
"Old_Valparai",18,3,2690,4,"Old_Valparai_18"
"Old_Valparai",18,4,1073,5,"Old_Valparai_18"
"Old_Valparai",19,1,661,5,"Old_Valparai_19"
"Old_Valparai",19,2,609,4,"Old_Valparai_19"
"Old_Valparai",19,3,1394,12,"Old_Valparai_19"
"Old_Valparai",19,4,1938,2,"Old_Valparai_19"
"Old_Valparai",20,1,405,4,"Old_Valparai_20"
"Old_Valparai",20,2,921,4,"Old_Valparai_20"
"Old_Valparai",20,3,5690,7,"Old_Valparai_20"
"Old_Valparai",20,4,325,2,"Old_Valparai_20"
"Iyerpadi_Akkamalai",1,1,661,3,"Iyerpadi_Akkamalai_1"
"Iyerpadi_Akkamalai",1,2,761,11,"Iyerpadi_Akkamalai_1"
"Iyerpadi_Akkamalai",1,3,537,7,"Iyerpadi_Akkamalai_1"
"Iyerpadi_Akkamalai",1,4,247,4,"Iyerpadi_Akkamalai_1"
"Iyerpadi_Akkamalai",2,1,2250,3,"Iyerpadi_Akkamalai_2"
"Iyerpadi_Akkamalai",2,2,2750,8,"Iyerpadi_Akkamalai_2"
"Iyerpadi_Akkamalai",2,3,1630,5,"Iyerpadi_Akkamalai_2"
"Iyerpadi_Akkamalai",2,4,1053,5,"Iyerpadi_Akkamalai_2"
"Iyerpadi_Akkamalai",3,1,433,7,"Iyerpadi_Akkamalai_3"
"Iyerpadi_Akkamalai",3,2,477,10,"Iyerpadi_Akkamalai_3"
"Iyerpadi_Akkamalai",3,3,596,12,"Iyerpadi_Akkamalai_3"
"Iyerpadi_Akkamalai",3,4,397,2,"Iyerpadi_Akkamalai_3"
"Iyerpadi_Akkamalai",4,1,251,9,"Iyerpadi_Akkamalai_4"
"Iyerpadi_Akkamalai",4,2,95,10,"Iyerpadi_Akkamalai_4"
"Iyerpadi_Akkamalai",4,3,265,10,"Iyerpadi_Akkamalai_4"
"Iyerpadi_Akkamalai",4,4,290,4,"Iyerpadi_Akkamalai_4"
"Iyerpadi_Akkamalai",5,1,99,1,"Iyerpadi_Akkamalai_5"
"Iyerpadi_Akkamalai",5,2,192,5,"Iyerpadi_Akkamalai_5"
"Iyerpadi_Akkamalai",5,3,131,5,"Iyerpadi_Akkamalai_5"
"Iyerpadi_Akkamalai",5,4,84,12,"Iyerpadi_Akkamalai_5"
"Iyerpadi_Akkamalai",6,1,148,5,"Iyerpadi_Akkamalai_6"
"Iyerpadi_Akkamalai",6,2,381,14,"Iyerpadi_Akkamalai_6"
"Iyerpadi_Akkamalai",6,3,178,8,"Iyerpadi_Akkamalai_6"
"Iyerpadi_Akkamalai",6,4,339,5,"Iyerpadi_Akkamalai_6"
"Iyerpadi_Akkamalai",7,1,2410,6,"Iyerpadi_Akkamalai_7"
"Iyerpadi_Akkamalai",7,2,2610,8,"Iyerpadi_Akkamalai_7"
"Iyerpadi_Akkamalai",7,3,13660,24,"Iyerpadi_Akkamalai_7"
"Iyerpadi_Akkamalai",7,4,2050,4,"Iyerpadi_Akkamalai_7"
"Iyerpadi_Akkamalai",8,1,700,4,"Iyerpadi_Akkamalai_8"
"Iyerpadi_Akkamalai",8,2,468,8,"Iyerpadi_Akkamalai_8"
"Iyerpadi_Akkamalai",8,3,279,5,"Iyerpadi_Akkamalai_8"
"Iyerpadi_Akkamalai",8,4,355,10,"Iyerpadi_Akkamalai_8"
"Iyerpadi_Akkamalai",9,1,223,6,"Iyerpadi_Akkamalai_9"
"Iyerpadi_Akkamalai",9,2,279,12,"Iyerpadi_Akkamalai_9"
"Iyerpadi_Akkamalai",9,3,518,10,"Iyerpadi_Akkamalai_9"
"Iyerpadi_Akkamalai",9,4,180,8,"Iyerpadi_Akkamalai_9"
"Iyerpadi_Akkamalai",10,1,266,4,"Iyerpadi_Akkamalai_10"
"Iyerpadi_Akkamalai",10,2,1019,4,"Iyerpadi_Akkamalai_10"
"Iyerpadi_Akkamalai",10,3,522,4,"Iyerpadi_Akkamalai_10"
"Iyerpadi_Akkamalai",10,4,356,8,"Iyerpadi_Akkamalai_10"
"Iyerpadi_Akkamalai",11,1,557,5,"Iyerpadi_Akkamalai_11"
"Iyerpadi_Akkamalai",11,2,992,8,"Iyerpadi_Akkamalai_11"
"Iyerpadi_Akkamalai",11,3,3580,10,"Iyerpadi_Akkamalai_11"
"Iyerpadi_Akkamalai",11,4,195,2,"Iyerpadi_Akkamalai_11"
"Iyerpadi_Akkamalai",12,1,154,2,"Iyerpadi_Akkamalai_12"
"Iyerpadi_Akkamalai",12,2,1569,12,"Iyerpadi_Akkamalai_12"
"Iyerpadi_Akkamalai",12,3,274,7,"Iyerpadi_Akkamalai_12"
"Iyerpadi_Akkamalai",12,4,133,2,"Iyerpadi_Akkamalai_12"
"Iyerpadi_Akkamalai",13,1,135,2,"Iyerpadi_Akkamalai_13"
"Iyerpadi_Akkamalai",13,2,328,2,"Iyerpadi_Akkamalai_13"
"Iyerpadi_Akkamalai",13,3,821,2,"Iyerpadi_Akkamalai_13"
"Iyerpadi_Akkamalai",13,4,813,3,"Iyerpadi_Akkamalai_13"
"Iyerpadi_Akkamalai",14,1,572,4,"Iyerpadi_Akkamalai_14"
"Iyerpadi_Akkamalai",14,2,669,3,"Iyerpadi_Akkamalai_14"
"Iyerpadi_Akkamalai",14,3,426,6,"Iyerpadi_Akkamalai_14"
"Iyerpadi_Akkamalai",14,4,397,3,"Iyerpadi_Akkamalai_14"
"Iyerpadi_Akkamalai",15,1,1884,2,"Iyerpadi_Akkamalai_15"
"Iyerpadi_Akkamalai",15,2,1224,4,"Iyerpadi_Akkamalai_15"
"Iyerpadi_Akkamalai",15,3,645,1,"Iyerpadi_Akkamalai_15"
"Iyerpadi_Akkamalai",15,4,1926,9,"Iyerpadi_Akkamalai_15"
"Iyerpadi_Akkamalai",16,1,444,4,"Iyerpadi_Akkamalai_16"
"Iyerpadi_Akkamalai",16,2,1016,5,"Iyerpadi_Akkamalai_16"
"Iyerpadi_Akkamalai",16,3,159,2,"Iyerpadi_Akkamalai_16"
"Iyerpadi_Akkamalai",16,4,506,1,"Iyerpadi_Akkamalai_16"
"Iyerpadi_Akkamalai",17,1,304,2,"Iyerpadi_Akkamalai_17"
"Iyerpadi_Akkamalai",17,2,374,2,"Iyerpadi_Akkamalai_17"
"Iyerpadi_Akkamalai",17,3,364,5,"Iyerpadi_Akkamalai_17"
"Iyerpadi_Akkamalai",17,4,169,3,"Iyerpadi_Akkamalai_17"
"Iyerpadi_Akkamalai",18,1,1028,8,"Iyerpadi_Akkamalai_18"
"Iyerpadi_Akkamalai",18,2,542,4,"Iyerpadi_Akkamalai_18"
"Iyerpadi_Akkamalai",18,3,1280,7,"Iyerpadi_Akkamalai_18"
"Iyerpadi_Akkamalai",18,4,352,10,"Iyerpadi_Akkamalai_18"
"Iyerpadi_Akkamalai",19,1,"NA","NA","Iyerpadi_Akkamalai_19"
"Iyerpadi_Akkamalai",19,2,2570,5,"Iyerpadi_Akkamalai_19"
"Iyerpadi_Akkamalai",19,3,1700,5,"Iyerpadi_Akkamalai_19"
"Iyerpadi_Akkamalai",19,4,1042,7,"Iyerpadi_Akkamalai_19"
"Iyerpadi_Akkamalai",20,1,1070,5,"Iyerpadi_Akkamalai_20"
"Iyerpadi_Akkamalai",20,2,242,7,"Iyerpadi_Akkamalai_20"
