"group","old_code","osuri_code","current_code","original_name","original_fullname","original_family","GBIFname","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","scientificName"
"liana","Ola sca","NA","Ola sca","Olax scandens","Olax scandens Roxb.","Olacaceae","Olax scandens Roxb.",3686095,"EXACT",98,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Santalales","Olacaceae","Olax","Olax psittacorum","Olax scandens","Roxb.","Olax psittacorum"
"liana","Opi ame","NA","Opi ame","Opilia amentacea","Opilia amentacea Roxb.","Ophiliaceae","Opilia amentacea Roxb.",3658866,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Santalales","Opiliaceae","Opilia","Opilia amentacea","Opilia amentacea","Roxb.","Opilia amentacea"
"liana","Par alb","NA","Par alb","Parsonsia alboflavescens","Parsonsia alboflavescens (Dennst.) Mabberley ","Apocynaceae","Parsonsia alboflavescens (Dennst.) Mabb.",7317262,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Parsonsia","Parsonsia alboflavescens","Parsonsia alboflavescens","(Dennst.) Mabb.","Parsonsia alboflavescens"
"liana","Pip bra","NA","Pip bra","Piper brachystachyum","Piper brachystachyum Wall.","Piperaceae","Piper brachystachyum Wall.",4188155,"EDITED",114,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Piper","Piper mullesua","Piper brachystachyum",,"Piper mullesua"
"liana","Pip mul","NA","Pip mul","Piper mullesua","Piper mullesua Buch.-Ham.ex D. Don","Piperaceae","Piper mullesua Buch.-Ham. ex D.Don",8023840,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Piper","Piper mullesua","Piper mullesua","Buch.-Ham. ex D.Don","Piper mullesua"
"liana","Pip nig","NA","Pip nig","Piper nigrum","Piper nigrum L.","Piperaceae","Piper nigrum L.",3086357,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","Piper","Piper nigrum","Piper nigrum","L.","Piper nigrum"
"liana","Pol chi","NA","Pol chi","Polygonum chinense","Polygonum chinense L.","Polygonaceae","Polygonum chinense L.",5334425,"EDITED",114,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Persicaria","Persicaria chinensis","Polygonum chinense",,"Persicaria chinensis"
"liana","Pse spe","NA","Pse spe","Pseudaidia speciosa","Pseudaidia speciosa (Bedd.) Tirveng.","Rubiaceae","Pseudaidia speciosa (Bedd.) Tirveng.",2907656,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Pseudaidia","Pseudaidia speciosa","Pseudaidia speciosa","(Bedd.) Tirveng.","Pseudaidia speciosa"
"liana","Rap lac","NA","Rap lac","Rhaphidophora laciniata","Rhaphidophora laciniata (Burm.f.) Men.","Araceae","Rhaphidophora laciniata (Burm.f.) Merr.",5330257,"EXACT",98,"SYNONYM","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Epipremnum","Epipremnum pinnatum","Rhaphidophora laciniata","(Burm.f.) Merr.","Epipremnum pinnatum"
"liana","Rou min","NA","Rou min","Rourea minor","Rourea minor (Gaertn.) Alston ","Connaraceae","Rourea minor (Gaertn.) Alston",7780480,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Connaraceae","Rourea","Rourea minor","Rourea minor","(Gaertn.) Alston","Rourea minor"
