WeirdSiteID,PlotID,Plant.year,Site_ID,Site_type,treespecies,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,gbh8,gbh9,gbh10,gbh11,height,Notes
IPTOP,R04,2004,IPTO_04U,Unrestored,Eugenia sp.,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Neolitsea zeylanica,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Litsea floribunda,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Maesa indica,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Maesa indica,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Cinnamomum malabathrum,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Litsea floribunda,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Ficus hispida,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Ficus hispida,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
