plot_id,plot_label,comparison_class,latitude,longitude,canopy_cover_percent,distance_to_protected_area_m,adult_tree_count_per_0.04ha_plot,adult_tree_species_richness,adult_old_growth_species_richness,adult_introduced_species_richness,adult_threatened_or_endemic_species_richness,adult_medium_large_animal_dispersed_species_richness,adult_basal_area_per_ha,adult_aboveground_carbon_per_ha,adult_mean_wood_density,adult_mean_height,regeneration_individual_count_per_0.04ha_plot,regeneration_tree_species_richness,regeneration_old_growth_species_richness,regeneration_introduced_species_richness,regeneration_threatened_or_endemic_species_richness,regeneration_medium_large_animal_dispersed_species_richness,regeneration_mean_wood_density
PANM_P3B,Pannimade,Fragment,10.29629,76.89201,100,2928.18279888063,20,10,7,0,6,3,19.94804090160788,51.414557154655625,0.56360817515,12.8,21,10,7,0,6,4,0.6275188704444444
PANM_P4B,Pannimade,Fragment,10.29793,76.89453,38,3189.67913704643,10,7,6,0,5,3,41.34624792987584,301.08893000091825,0.6388238395,22.77777777777778,50,13,7,2,7,3,0.5568809293333333
UPMA_P6B,Manamboli,Benchmark,10.34717,76.89074,100,48.3987242615618,23,17,17,0,12,8,108.61656216317192,449.43198993158376,0.6255299206086956,26.869565217391305,63,14,11,1,12,5,0.6058819015333333
PTTM_P1D,Puthuthottam,Fragment,10.33952,76.96782,75,2748.68634240037,26,5,2,2,2,0,54.18131622045278,188.3143140933836,0.3708461538461539,29.8,39,9,2,3,5,0,0.561906377625
PTTM_P2D,Puthuthottam,Fragment,10.33872,76.96769,90,2831.87572868572,19,7,4,3,2,2,72.17199204388179,331.5661744978729,0.41487817226315793,27.68421052631579,160,12,7,2,7,4,0.5861456032727272
SIRK_P1D,Sirikundra,Fragment,10.31167,76.95877,100,3171.2257226918,40,7,0,1,2,0,39.550401245693735,160.84197338219872,0.5400684489249999,23.225,48,6,1,0,5,1,0.5837018864
SIRK_P2D,Sirikundra,Fragment,10.31081,76.95982,95,3021.97259669545,39,5,0,2,1,0,33.00316477425088,136.06882258009577,0.5377142176410257,23.142857142857142,38,4,1,1,1,1,0.502779263
SIRK_P3D,Sirikundra,Fragment,10.31213,76.95985,100,3112.57924459222,48,5,1,1,1,1,34.83981281753136,155.1258876878407,0.5352702011666667,18.916666666666668,39,10,2,1,5,2,0.59158596925
OLCA_P3B,Old Kavarkal,Benchmark,10.37043,76.97517,99,207.600652412477,8,4,2,0,2,1,42.637565486709406,190.58523102032788,0.532992215,19.625,24,14,12,0,8,4,0.5981207229230769
OLCA_P4B,Old Kavarkal,Benchmark,10.36989,76.97445,97,205.359472409318,16,4,3,0,3,2,67.06990632895476,299.2799215410706,0.5456836075,11.8125,29,13,7,0,9,3,0.5664130355454545
OLCA_P5B,Old Kavarkal,Benchmark,10.36953,76.97558,66,314.893531615907,13,11,5,0,4,1,70.43506451963222,289.8577435140076,0.5284961297692308,21,50,19,14,0,8,4,0.641674893
J07,Candura,Fragment,10.30804,76.83481,35,556.833845732646,10,4,1,0,4,0,29.36925953610519,96.12761681697518,0.5515014408,21.8,9,2,2,0,2,1,0.5760000000000001
L17,Candura,Fragment,10.3167,76.83305,85,134.115059454284,9,6,3,1,1,2,13.044538079490628,26.518728710605817,0.42368651944444446,25.88888888888889,48,12,4,1,7,2,0.5214290233636364
L16,Candura,Fragment,10.31579,76.83305,95,165.26886912626,11,3,0,1,0,0,16.68958416365275,35.63566711068179,0.3532835352727273,28.181818181818183,96,19,10,2,12,7,0.5207287690588235
M17,Candura,Fragment,10.3167,76.83214,95,39.7347952768938,12,6,1,2,1,0,9.979213875540701,16.987440058762846,0.5036229626666667,15,32,10,4,2,5,3,0.544876459375
N14,Candura,Fragment,10.31399,76.83121,95,33.6508967771763,9,8,5,0,5,3,17.784371228446098,53.87563785825874,0.6440715004444445,21,171,24,14,2,15,7,0.5394720591666667
K13,Candura,Fragment,10.31307,76.83395,90,350.529794364171,14,8,5,1,3,3,54.77973880647834,138.67933366721257,0.3888362008571429,22.384615384615383,33,4,1,1,3,0,0.5491582963333334
K15,Candura,Fragment,10.31488,76.83396,85,290.803430687741,11,8,2,3,3,2,25.624741612510615,54.30037713456917,0.49472647063636366,24.9,111,15,5,2,6,5,0.5324429380714285
K11,Candura,Fragment,10.31127,76.83393,85,398.844106446547,18,11,4,3,5,2,44.03737697881196,176.85967259463075,0.3881390023333333,19,34,12,7,1,8,3,0.5008710445833333
N10,Candura,Fragment,10.31038,76.83119,95,129.649091477805,10,7,4,1,6,2,21.30368490756566,60.544033615806015,0.48567299980000006,17.8,22,6,4,0,4,2,0.5364994556666667
L12,Candura,Fragment,10.31217,76.83302,80,278.813911437667,21,11,3,1,5,3,35.68114563545089,113.39549661567585,0.462034559,24.904761904761905,126,19,12,1,11,7,0.5315984137777777
L09,Candura,Fragment,10.30946,76.83301,100,347.167803866922,9,8,3,3,2,0,12.658786286171624,25.09427129659966,0.5029444444444445,18,143,30,21,0,21,13,0.5534293644827586
